revenue_other	Revenue Other	BIGINT
revenue_total	Revenue Total	BIGINT
roe	ROE	DOUBLE(15,4)
sales	Sales	BIGINT
selling_gen_admin_expenses	Selling Gen. Admin Expenses	BIGINT
shares_out_common_stock_prim	Shares Outs - Common Stock Primary Issue	BIGINT
short_term_investments	Short Term Investments	BIGINT
total_assets	Total Assets	BIGINT
total_cash_dividends_paid	Total Cash Dividends Paid	BIGINT
total_comm_shares_out	Total Common Shares Outstanding	BIGINT
total_curr_assets	Total Current Assets	BIGINT
total_curr_liabilities	Total Current Liabilities	BIGINT
total_debt	Total Debt	BIGINT
total_equity	Total Equity	BIGINT
total_inventory	Total Inventory	BIGINT
total_liabilities	Total Liabilities	BIGINT
total_liabilities_and_shareholder_equity	Total Liabilities and Shareholder Equity	BIGINT
total_long_term_debt	Total Long Term Debt	BIGINT
total_operating_expenses	Total Operating Expense	BIGINT
total_receivables_net	Total Receivables Net	BIGINT
total_short_term_borrow	Total Short Term Borrowings	BIGINT
total_special_items	Total Special Items	BIGINT
treasury_stock_common	Treasury Stock - Common	BIGINT
unusual_expense	Unusual Expense	BIGINT
